t,bgx,bgy,bgz
80.01,3.456812740434401e-05,4.28745321331504e-06,5.123690678054502e-05
80.02,2.5111034475816926e-05,9.24218720760153e-06,4.436083486220019e-05
80.03,2.401744920474602e-05,1.1980600386921942e-05,4.2335540927477005e-05
80.04,2.2493615491768415e-05,1.4264838304617297e-05,4.163412304578995e-05
80.05,1.8356836101261015e-05,1.6534813547220667e-05,3.7877547623086136e-05
80.06,1.3808809831088372e-05,2.0101845382315166e-05,3.5892735031704286e-05
80.07000000000001,1.671948576022766e-05,2.014999093794135e-05,4.091354331552451e-05
80.08,2.092321777663378e-05,2.4568603248644545e-05,4.4591771694330847e-05
80.09,1.723332061363295e-05,2.3277628364239985e-05,4.780995664921033e-05
80.10000000000001,1.0944002572326157e-05,1.8498100367896704e-05,5.144512414459624e-05
80.11,1.343548948709496e-05,1.5496722471066383e-05,5.680590077304549e-05
80.12,1.2851882512116181e-05,1.819608262371951e-05,6.344443517419197e-05
80.13,1.6205610188201654e-05,1.8256127673184622e-05,5.5180909805433516e-05
80.14,8.174402173417744e-06,1.96270280162643e-05,5.8332976675496686e-05
80.15,4.5641080208335235e-06,1.8803984834656865e-05,6.146536218693793e-05
80.16,2.7246633261386793e-06,2.454223175683755e-05,6.108157533029735e-05
80.17,7.452855098906538e-06,1.7569423949011748e-05,5.895187787142879e-05
80.18,1.1714447525253323e-05,1.3699691189719775e-05,5.639840140686205e-05
80.19,6.333742545017719e-06,8.979967386675884e-06,5.5609175679797935e-05
80.2,-2.072902725688597e-06,9.971710904863412e-06,5.569903131612502e-05
80.21000000000001,1.3740146137920354e-06,1.4890952659061585e-05,5.404001894857405e-05
80.22,-5.253355397406861e-06,1.8468248684922996e-05,5.7636286225339865e-05
80.23,-3.971963146522723e-06,1.1533366544295795e-05,5.7276407940534006e-05
80.24,-4.446878798601593e-06,9.449629595577047e-06,5.167385587054615e-05
80.25,-5.355905836852558e-06,8.253056877981617e-06,4.523213239981736e-05
80.26,-7.5704871647501605e-06,6.189802029927299e-06,3.4022786639146814e-05
80.27,-8.460010537951236e-06,6.324813735819012e-06,3.949234753094192e-05
80.28,-1.1092286718142792e-05,6.896059172280221e-06,3.8371605678936126e-05
80.29,2.783285072303918e-07,5.7154308293884276e-06,4.07544755857634e-05
80.3,5.8959485553225245e-06,1.1098325335365121e-05,3.56921624286958e-05
80.31,-4.6933468369581904e-06,1.4262225612096884e-05,3.372099528060905e-05
80.32000000000001,8.116264552182151e-08,1.0850219582443462e-05,2.8702598846743174e-05
80.33,5.700013788064754e-06,1.576397596940526e-05,2.6337997470517162e-05
80.34,1.668092863861874e-06,1.540213024209364e-05,2.398816055507254e-05
80.35000000000001,3.3433446517725797e-06,1.7665004286847476e-05,2.6460840022854865e-05
80.36,8.941826881915606e-06,1.2046367778908032e-05,3.197761735686714e-05
80.37,7.512124652061693e-06,1.4330195048073182e-05,3.090379712981402e-05
80.38,-9.018783815977639e-07,1.5725608731480163e-05,3.289621894778651e-05
80.39,-2.707193711960126e-06,1.7549386254254967e-05,4.143235123731585e-05
80.4,-8.434927373857529e-06,2.3732543568864388e-05,4.72927238904808e-05
80.41,-1.5001050808470767e-05,2.1572635527395984e-05,4.78715838015269e-05
80.42,-1.2347564189665917e-05,2.2485751012644843e-05,4.844682933826852e-05
80.43,-3.5915714944773723e-06,1.8148244198944438e-05,5.076679001816328e-05
80.44,-3.631785556933957e-06,2.0393971636145395e-05,4.4330730224339306e-05
80.45,-1.049288100449331e-06,1.912906295695377e-05,5.3232542695777505e-05
80.46000000000001,-1.1595217758762118e-05,2.09315894701764e-05,5.421139139242073e-05
80.47,-1.4644994588564204e-05,1.572963329397275e-05,5.081336082974301e-05
80.48,-1.1556654430832699e-05,1.6679232212830464e-05,5.8363465845725476e-05
80.49,-1.7666209209834518e-05,1.7622901880298712e-05,6.586642835789119e-05
80.5,-1.980392557724246e-05,2.861344427781608e-05,7.02630055602591e-05
80.51,-2.498783130486673e-05,2.6423060119815008e-05,6.41422890426581e-05
80.52,-2.0086604007275236e-05,2.162389219419543e-05,6.243055736739468e-05
80.53,-1.9586747118170978e-05,1.554345983731409e-05,6.553735777597996e-05
80.54,-2.7831546059549098e-05,1.5620067739821354e-05,6.381691535656847e-05
80.55,-2.3349639476940462e-05,1.7444504255628912e-05,6.91004430973273e-05
80.56,-2.632602224539638e-05,1.4886781701184647e-05,6.998021336345061e-05
80.57000000000001,-2.4475976507521883e-05,7.974262073475223e-06,6.735787648609164e-05
80.58,-2.438578931847878e-05,1.334305254244576e-05,6.868560399428441e-05
80.59,-1.9925397880358025e-05,1.7804167059225673e-05,6.82567342843272e-05
80.60000000000001,-2.161193124163783e-05,1.611835226173575e-05,7.526084695210965e-05
80.61,-1.8480089856166655e-05,1.4005986875899023e-05,7.56650752063259e-05
80.62,-1.799026396654386e-05,1.321804121318078e-05,7.694093295289996e-05
80.63,-1.8814726739050178e-05,8.06424807277284e-06,7.383805692948861e-05
80.64,-1.7011581180223146e-05,1.037293951178038e-05,7.075455511934542e-05
80.65,-1.8716308277168436e-05,7.42229474062982e-06,6.550492286394461e-05
80.66,-1.647670050126189e-05,7.54961081948119e-06,6.859252707766261e-05
80.67,-1.7310613893499706e-05,1.5980589952666627e-05,6.72900850608981e-05
80.68,-1.9887627318857214e-05,1.386908474826676e-05,6.162500805769842e-05
80.69,-2.5945163891444737e-05,1.2207840421316112e-05,6.124022437968175e-05
80.7,-2.497164969011717e-05,7.934508402304568e-06,6.610276412143497e-05
80.71000000000001,-2.6189597752929395e-05,9.806933192399153e-06,5.957094722010498e-05
80.72,-3.5704399014801136e-05,1.4290127073585677e-05,6.26956029011663e-05
80.73,-3.7729485765809316e-05,1.7871174626398904e-05,5.5747983418322965e-05
80.74,-3.449700712111272e-05,2.66747831336203e-05,5.190328170928633e-05
80.75,-3.696670950819804e-05,2.6681887572285557e-05,5.114212330010073e-05
80.76,-3.286484012816542e-05,2.7563101125903384e-05,5.519356163959576e-05
80.77,-3.272227326567178e-05,2.4942198524219063e-05,5.747139603745965e-05
80.78,-2.7772752472971822e-05,3.326457915042768e-05,5.5801317107196855e-05
80.79,-2.5039519944250393e-05,3.6290074371485675e-05,5.9823663657720846e-05
80.8,-2.844242791520043e-05,3.7548371591925836e-05,5.114566948018238e-05
80.81,-2.308255354002142e-05,3.573927490159186e-05,5.388585546538956e-05
80.82000000000001,-1.6444915758517896e-05,3.700101128824981e-05,5.48606249075496e-05
80.83,-1.7279027613207953e-05,4.655932746171411e-05,5.320684751053647e-05
80.84,-1.7670854574986146e-05,4.644227373239398e-05,5.374877990935048e-05
80.85000000000001,-2.6801769734842322e-05,5.20079484668909e-05,4.9042407659106486e-05
80.86,-2.1452139552871992e-05,4.7923183165655354e-05,4.917326588888412e-05
80.87,-2.3566216747676533e-05,4.998299727172905e-05,4.930330704597419e-05
80.88,-1.9985096157225024e-05,5.202994999453034e-05,5.0743766444245166e-05
80.89,-2.3856640452087455e-05,5.362704490256862e-05,5.1301078206435294e-05
80.9,-2.2459090156402874e-05,5.434001414970368e-05,4.966952645311692e-05
80.91,-2.3255649786467343e-05,5.767099207429983e-05,5.722677351763403e-05
80.92,-2.0113545099014373e-05,5.529917394220149e-05,6.036606611003393e-05
80.93,-1.9613519990988995e-05,5.512754901881292e-05,5.605545257054636e-05
80.94,-2.34873843901146e-05,5.583114918818318e-05,5.3957137987927e-05
80.95,-1.9906756025229412e-05,5.784158632299479e-05,5.711684603217987e-05
80.96000000000001,-1.678556167433294e-05,5.3720396058885904e-05,5.544898089562481e-05
80.97,-1.936585350127475e-05,5.224739873891084e-05,5.8599373942295354e-05
80.98,-1.5810959783158937e-05,5.7339749806070146e-05,6.391547976846038e-05
80.99,-2.0582720665725247e-05,5.934076730893808e-05,6.39534712292066e-05
81.0,-2.663591710785255e-05,4.996529538020953e-05,6.486537894777912e-05
81.01,-2.871762703721461e-05,4.851574473385054e-05,6.183790212074594e-05
81.02,-2.7726801705226662e-05,5.275724259995222e-05,6.757086346527758e-05
81.03,-3.067585367674443e-05,5.216441264001957e-05,6.540064719375359e-05
81.04,-4.05997197030962e-05,5.376066796956659e-05,6.455521186358202e-05
81.05,-4.1720086825156494e-05,5.2287419193658277e-05,6.502628560431183e-05
81.06,-3.3654846942392886e-05,5.169752278917651e-05,6.374611103308788e-05
81.07000000000001,-3.350734731417265e-05,4.3681005135089955e-05,5.4606548539590844e-05
81.08,-3.42349221414925e-05,4.620438394043087e-05,6.038466211883689e-05
81.09,-3.2772570338660865e-05,4.6526623199282376e-05,5.869639289094647e-05
81.10000000000001,-4.04979608770603e-05,4.553562019911609e-05,6.0078202299004015e-05
81.11,-4.773803769964257e-05,4.3676651500756684e-05,7.368953239983284e-05
81.12,-4.968798697157877e-05,4.051805990420051e-05,7.454064860624429e-05
81.13,-5.5559451487460415e-05,4.262411125477315e-05,7.713475743220552e-05
81.14,-5.265272010520348e-05,3.510132429677269e-05,7.75272850767252e-05
81.15,-4.2770910420325716e-05,3.549289054253641e-05,8.141397569587364e-05
81.16,-3.81957231429576e-05,2.9325860806388533e-05,7.566070977784994e-05
81.17,-3.8894023970123145e-05,3.5435486362784426e-05,7.081752045880074e-05
81.18,-3.958796463947099e-05,3.6699119590919404e-05,6.731580200022803e-05
81.19,-3.459557478983621e-05,3.620655580260169e-05,7.388871306796823e-05
81.2,-2.6574820028154582e-05,3.702829777172492e-05,7.255320191273032e-05
81.21000000000001,-1.9478299960101976e-05,3.871906229703001e-05,6.772941572795301e-05
81.22,-2.1604701717325033e-05,4.302173019165338e-05,6.905482336243668e-05
81.23,-2.196951937161257e-05,3.9867227893226e-05,6.381580415290316e-05
81.24,-2.189498238410256e-05,4.1540266271172204e-05,6.472857145828359e-05
81.25,-1.7887220165754287e-05,3.577255374020533e-05,6.563563948715242e-05
81.26,-1.8275249601581642e-05,3.135208474955896e-05,6.828535077499946e-05
81.27,-1.3853012088646891e-05,2.739629369862476e-05,6.873313370222451e-05
81.28,-1.5577461143782157e-05,3.74516580184203e-05,6.568150679477686e-05
81.29,-8.54960807202739e-06,3.826562562734096e-05,6.78938549519247e-05
81.3,-1.2055478284128867e-05,4.519358518360502e-05,6.703285214871709e-05
81.31,-1.641361148076747e-05,4.202552192383594e-05,5.787276739688586e-05
81.32000000000001,-1.6810842060540416e-05,4.324800727708285e-05,5.095526147414359e-05
81.33,-1.2834824977405638e-05,4.8396550125076944e-05,4.189556444912357e-05
81.34,-1.4565631545406785e-05,5.6135406135706124e-05,3.595197291164173e-05
81.35000000000001,-1.4537324088395607e-05,5.8143943504318526e-05,3.660164394321835e-05
